Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
14.12.2020;21.12.2020;10.021.246,50;10.255.350,25;234.103,75;6.689.334,25
21.12.2020;28.12.2020;8.653.659,75;8.898.908,75;245.249,00;4.672.839,00
28.12.2020;04.01.2021;8.408.100,25;8.648.705,25;240.605,00;6.239.975,00
04.01.2021;11.01.2021;10.098.335,25;10.307.229,75;208.894,50;8.470.298,38
11.01.2021;18.01.2021;10.818.243,25;11.052.059,00;233.815,75;7.691.148,50
18.01.2021;25.01.2021;10.639.866,00;10.880.500,75;240.634,75;6.249.103,50
25.01.2021;01.02.2021;10.591.969,50;10.814.593,25;222.623,75;8.324.986,00
01.02.2021;08.02.2021;10.555.939,50;10.764.466,50;208.527,00;7.026.754,25
08.02.2021;15.02.2021;10.950.105,50;11.156.608,00;206.502,50;8.663.712,50
15.02.2021;22.02.2021;10.368.684,00;10.580.610,00;211.926,00;6.220.969,50
22.02.2021;01.03.2021;9.884.145,75;10.088.612,00;204.466,25;6.686.842,50
01.03.2021;08.03.2021;10.049.461,00;10.256.012,50;206.551,50;7.728.611,50
08.03.2021;15.03.2021;10.414.755,00;10.640.864,50;226.109,50;5.467.940,75
15.03.2021;22.03.2021;10.243.528,50;10.455.682,75;212.154,25;7.056.247,75
22.03.2021;29.03.2021;9.905.959,75;10.128.104,75;222.145,00;6.385.139,50
29.03.2021;05.04.2021;9.084.151,75;9.314.660,50;230.508,75;5.466.760,75
05.04.2021;12.04.2021;9.741.574,25;10.005.534,50;263.960,25;4.979.324,25
12.04.2021;19.04.2021;9.912.831,50;10.073.586,25;160.754,75;7.360.879,00
19.04.2021;26.04.2021;9.540.265,75;9.732.535,00;192.269,25;6.293.133,00
26.04.2021;03.05.2021;9.283.380,25;9.470.115,75;186.735,50;6.392.628,25
03.05.2021;10.05.2021;9.703.360,50;9.899.100,50;195.740,00;4.788.191,25
10.05.2021;17.05.2021;8.772.453,00;8.944.209,50;171.756,50;6.321.719,25
17.05.2021;24.05.2021;9.277.331,50;9.469.974,50;192.643,00;5.489.217,00
24.05.2021;31.05.2021;8.928.181,50;9.112.305,00;184.123,50;5.200.333,75
31.05.2021;07.06.2021;8.769.141,25;8.942.245,00;173.103,75;6.025.223,00
07.06.2021;14.06.2021;9.171.033,00;9.346.452,00;175.419,00;6.430.822,25
14.06.2021;21.06.2021;9.443.155,00;9.643.059,75;199.904,75;6.299.769,75
21.06.2021;28.06.2021;9.176.621,50;9.350.244,50;173.623,00;6.969.842,00
28.06.2021;05.07.2021;9.293.195,00;9.439.250,50;146.055,50;6.944.458,50
05.07.2021;12.07.2021;9.233.963,25;9.387.800,00;153.836,75;6.820.604,50
12.07.2021;19.07.2021;9.265.707,75;9.407.442,50;141.734,75;6.564.684,75
19.07.2021;26.07.2021;9.087.839,75;9.210.332,25;122.492,50;6.713.968,00
26.07.2021;02.08.2021;9.050.187,00;9.226.473,75;176.286,75;5.317.415,25
02.08.2021;09.08.2021;8.767.229,50;8.915.947,50;148.718,00;6.060.448,75
09.08.2021;16.08.2021;8.760.261,75;8.922.419,00;162.157,25;5.830.297,50
16.08.2021;23.08.2021;9.005.376,25;9.163.804,75;158.428,50;5.525.194,50
23.08.2021;30.08.2021;9.032.613,25;9.193.829,75;161.216,50;5.951.570,00
30.08.2021;06.09.2021;9.071.960,75;9.258.041,50;186.080,75;6.690.407,75
06.09.2021;13.09.2021;9.053.208,25;9.233.134,75;179.926,50;6.999.523,75
13.09.2021;20.09.2021;9.183.978,50;9.359.668,25;175.689,75;7.057.579,25
20.09.2021;27.09.2021;9.292.937,75;9.524.319,25;231.381,50;6.467.082,50
27.09.2021;04.10.2021;9.509.009,25;9.758.500,25;249.491,00;5.439.764,75
04.10.2021;11.10.2021;9.430.505,00;9.628.709,50;198.204,50;6.966.261,50
11.10.2021;18.10.2021;9.903.996,50;10.066.238,00;162.241,50;6.872.737,50
18.10.2021;25.10.2021;10.035.348,75;10.289.157,75;253.809,00;5.170.851,25
25.10.2021;01.11.2021;10.018.211,75;10.258.886,25;240.674,50;6.221.872,25
01.11.2021;08.11.2021;9.928.333,25;10.171.623,00;243.289,75;6.647.303,50
08.11.2021;15.11.2021;10.082.299,50;10.264.010,50;181.711,00;8.236.356,25
15.11.2021;22.11.2021;10.132.312,75;10.398.613,25;266.300,50;7.157.238,25
22.11.2021;29.11.2021;10.487.213,25;10.727.071,75;239.858,50;8.314.234,25
29.11.2021;06.12.2021;10.976.156,50;11.229.835,50;253.679,00;6.844.281,25
06.12.2021;13.12.2021;10.763.764,75;10.995.068,00;231.303,25;8.236.648,25
13.12.2021;20.12.2021;10.441.587,50;10.674.722,25;233.134,75;8.063.407,25
20.12.2021;27.12.2021;9.528.970,75;9.741.462,50;212.491,75;7.426.739,50
27.12.2021;03.01.2022;8.709.567,25;8.990.021,00;280.453,75;4.299.101,25
03.01.2022;10.01.2022;10.189.604,50;10.438.960,75;249.356,25;5.603.421,25
10.01.2022;17.01.2022;10.647.618,50;10.849.125,50;201.507,00;8.339.436,00
17.01.2022;24.01.2022;10.811.945,75;11.053.273,25;241.327,50;6.935.011,00
24.01.2022;31.01.2022;10.765.939,75;11.004.580,25;238.640,50;6.424.561,25
