Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2021;01.02.2021;45.631.444,00;46.635.089,25;1.003.645,25;33.577.061,88
01.02.2021;01.03.2021;41.758.874,75;42.590.296,50;831.421,75;28.598.278,75
01.03.2021;01.04.2021;44.880.865,50;45.849.448,50;968.583,00;29.386.425,75
01.04.2021;01.05.2021;41.055.628,50;41.927.799,75;872.171,25;26.158.382,25
01.05.2021;01.06.2021;40.235.351,00;41.063.334,00;827.983,00;24.293.485,25
01.06.2021;01.07.2021;39.486.042,25;40.243.482,00;757.439,75;27.994.970,75
01.07.2021;01.08.2021;40.633.269,25;41.292.874,25;659.605,00;28.480.794,25
01.08.2021;01.09.2021;39.398.581,00;40.099.217,25;700.636,25;26.073.772,00
01.09.2021;01.10.2021;39.504.161,50;40.360.209,50;856.048,00;28.927.642,75
01.10.2021;01.11.2021;43.218.816,00;44.192.277,50;973.461,50;26.955.032,25
01.11.2021;01.12.2021;43.894.752,50;44.899.507,50;1.004.755,00;32.458.679,25
01.12.2021;01.01.2022;44.903.752,00;45.959.624,50;1.055.872,50;31.890.499,00
01.01.2022;01.02.2022;46.287.079,00;47.322.779,00;1.035.700,00;29.261.955,00
01.02.2022;01.03.2022;42.317.899,00;43.327.947,25;1.010.048,25;19.435.637,00
01.03.2022;01.04.2022;43.923.259,50;44.921.442,75;998.183,25;30.163.129,00
01.04.2022;01.05.2022;40.131.877,25;41.124.697,75;992.820,50;22.925.788,75
01.05.2022;01.06.2022;39.880.332,50;40.869.946,50;989.614,00;24.362.096,25
01.06.2022;01.07.2022;37.360.445,00;38.426.878,75;1.066.433,75;23.806.836,25
01.07.2022;01.08.2022;38.359.781,75;39.722.314,50;1.362.532,75;23.250.499,00
01.08.2022;01.09.2022;37.448.427,00;38.514.049,50;1.065.622,50;25.688.932,25
01.09.2022;01.10.2022;37.354.092,25;38.449.334,25;1.095.242,00;24.545.809,00
01.10.2022;01.11.2022;38.545.247,00;39.840.163,75;1.294.916,75;23.971.169,00
01.11.2022;01.12.2022;39.774.611,25;41.109.062,25;1.334.451,00;25.200.913,25
01.12.2022;01.01.2023;40.912.897,25;42.259.840,50;1.346.943,25;28.222.649,50
01.01.2023;01.02.2023;42.152.953,75;43.287.575,00;1.134.621,25;23.955.119,00
01.02.2023;01.03.2023;38.138.075,50;39.047.184,75;909.109,25;23.782.606,75
01.03.2023;01.04.2023;40.877.975,25;42.053.461,00;1.175.485,75;22.628.863,25
01.04.2023;01.05.2023;36.156.149,75;37.354.840,25;1.198.690,50;20.552.334,50
01.05.2023;01.06.2023;36.323.273,25;37.485.873,00;1.162.599,75;19.981.854,00
01.06.2023;01.07.2023;35.475.148,75;36.395.314,00;920.165,25;20.528.266,75
01.07.2023;01.08.2023;36.253.498,00;37.082.345,75;828.847,75;18.406.527,50
01.08.2023;01.09.2023;36.307.265,00;37.279.550,75;972.285,75;22.824.313,50
01.09.2023;01.10.2023;35.812.639,25;36.852.447,00;1.039.807,75;22.603.474,25
01.10.2023;01.11.2023;38.794.876,75;40.042.404,75;1.247.528,00;21.075.413,25
01.11.2023;01.12.2023;41.090.774,00;42.123.752,75;1.032.978,75;22.991.761,50
01.12.2023;01.01.2024;40.999.103,00;42.052.576,00;1.053.473,00;20.980.125,75
01.01.2024;01.02.2024;44.095.498,25;44.970.734,75;875.236,50;24.086.407,50
01.02.2024;01.03.2024;39.956.911,00;40.854.954,75;898.043,75;20.851.175,00
01.03.2024;01.04.2024;40.192.601,75;41.214.489,50;1.021.887,75;23.231.216,50
01.04.2024;01.05.2024;37.730.955,50;38.941.757,75;1.210.802,25;19.246.142,25
01.05.2024;01.06.2024;35.983.512,75;37.126.559,50;1.143.046,75;19.602.652,75
01.06.2024;01.07.2024;35.704.641,25;36.884.969,00;1.180.327,75;19.645.119,25
01.07.2024;01.08.2024;36.973.712,75;38.216.710,25;1.242.997,50;20.502.842,50
01.08.2024;01.09.2024;36.921.844,00;38.236.672,00;1.314.828,00;21.370.101,25
01.09.2024;01.10.2024;36.646.160,50;37.817.959,50;1.171.799,00;19.719.586,75
01.10.2024;01.11.2024;38.537.384,00;39.570.038,25;1.032.654,25;24.346.120,50
01.11.2024;01.12.2024;41.376.520,00;42.292.498,75;915.978,75;27.353.834,00
01.12.2024;01.01.2025;41.383.116,00;42.427.601,75;1.044.485,75;24.171.329,75
01.01.2025;01.02.2025;44.170.689,75;45.208.842,50;1.038.152,75;26.802.275,75
01.02.2025;01.03.2025;40.067.317,13;40.944.577,63;877.260,50;27.561.114,63
01.03.2025;01.04.2025;40.563.595,05;41.758.196,55;1.194.601,50;25.270.431,80
01.04.2025;01.05.2025;36.341.729,80;37.538.062,30;1.196.332,50;20.466.774,30
01.05.2025;01.06.2025;35.650.166,76;36.873.128,51;1.222.961,75;15.713.463,76
01.06.2025;01.07.2025;34.940.976,67;36.220.567,42;1.279.590,75;13.879.432,92
01.07.2025;01.08.2025;36.858.757,61;37.903.688,11;1.044.930,50;20.073.336,05
01.08.2025;01.09.2025;35.640.058,55;36.743.438,30;1.103.379,75;18.809.542,60
01.09.2025;01.10.2025;36.808.238,41;37.804.272,91;996.034,50;18.240.659,33
01.10.2025;01.11.2025;40.678.379,09;41.700.126,48;1.021.747,39;20.225.666,47
01.11.2025;01.12.2025;41.824.387,41;42.732.501,40;908.113,99;26.873.492,46
01.12.2025;01.01.2026;-;-;-;-
