Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
14.12.2020;21.12.2020;778.769,25;228.452,00;840.723,00;2.282.851,75;208.337,50;36.148,00;1.319.474,75;2.115.493,25;969.267,25;1.602.918,75;196.815,50;267.121,75
21.12.2020;28.12.2020;769.236,00;225.564,50;659.089,25;3.178.818,00;142.913,50;33.542,00;1.295.255,75;1.097.438,75;400.630,25;1.049.778,75;196.195,00;251.109,50
28.12.2020;04.01.2021;772.607,00;212.520,50;337.175,00;1.674.185,00;156.765,25;37.336,00;1.330.677,00;1.699.151,00;597.597,00;1.354.440,50;167.296,75;271.930,25
04.01.2021;11.01.2021;771.324,00;219.139,50;483.398,50;1.066.496,00;78.002,50;35.675,25;1.340.445,00;2.409.738,25;1.519.282,50;1.961.371,00;205.910,75;276.376,00
11.01.2021;18.01.2021;763.837,50;216.574,25;588.842,25;2.420.537,75;117.714,75;34.127,00;1.331.288,50;2.331.575,25;1.261.929,50;1.754.224,50;182.043,75;266.634,25
18.01.2021;25.01.2021;763.148,75;219.388,00;668.329,50;3.539.355,00;183.078,00;33.871,50;1.312.397,00;2.149.492,00;901.903,75;1.346.484,25;161.914,00;268.815,25
25.01.2021;01.02.2021;761.714,75;253.388,25;389.893,00;1.698.739,00;178.351,50;35.161,75;1.367.837,75;2.547.754,75;1.178.504,75;1.667.573,25;189.137,00;261.211,75
01.02.2021;08.02.2021;755.050,75;258.303,25;743.076,75;2.592.105,50;194.003,00;33.398,50;1.307.138,75;1.945.897,50;938.661,50;1.551.843,00;187.069,00;253.065,50
08.02.2021;15.02.2021;746.190,50;292.789,00;595.389,00;1.438.517,50;252.486,50;32.668,00;1.363.447,25;2.335.048,25;1.341.189,75;2.075.371,00;184.687,25;271.292,00
15.02.2021;22.02.2021;732.874,75;267.115,50;820.088,25;2.701.534,00;626.092,25;33.460,75;1.328.458,25;1.734.840,75;621.951,75;1.436.430,50;157.850,50;245.965,00
