Datum von;Datum bis;Biomasse [MW] Berechnete Auflösungen;Wasserkraft [MW] Berechnete Auflösungen;Wind Offshore [MW] Berechnete Auflösungen;Wind Onshore [MW] Berechnete Auflösungen;Photovoltaik [MW] Berechnete Auflösungen;Sonstige Erneuerbare [MW] Berechnete Auflösungen;Kernenergie [MW] Berechnete Auflösungen;Braunkohle [MW] Berechnete Auflösungen;Steinkohle [MW] Berechnete Auflösungen;Erdgas [MW] Berechnete Auflösungen;Pumpspeicher [MW] Berechnete Auflösungen;Sonstige Konventionelle [MW] Berechnete Auflösungen
01.01.2021;01.02.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.02.2021;01.03.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.03.2021;01.04.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.04.2021;01.05.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.05.2021;01.06.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.06.2021;01.07.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.07.2021;01.08.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.08.2021;01.09.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.09.2021;01.10.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.10.2021;01.11.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.11.2021;01.12.2021;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.12.2021;01.01.2022;8.204,00;-;-;54.345,00;50.410,00;-;-;-;-;31.942,00;-;-
01.01.2022;01.02.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.02.2022;01.03.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.03.2022;01.04.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.04.2022;01.05.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.05.2022;01.06.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.06.2022;01.07.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.07.2022;01.08.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.08.2022;01.09.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.09.2022;01.10.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.10.2022;01.11.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.11.2022;01.12.2022;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.12.2022;01.01.2023;8.332,00;4.958,00;-;55.289,00;57.744,00;-;-;-;-;30.553,00;9.379,00;-
01.01.2023;01.02.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.02.2023;01.03.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.03.2023;01.04.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.04.2023;01.05.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.05.2023;01.06.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.06.2023;01.07.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.07.2023;01.08.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.08.2023;01.09.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.09.2023;01.10.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.10.2023;01.11.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.11.2023;01.12.2023;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.12.2023;01.01.2024;8.467,00;5.049,00;-;57.590,00;63.066,00;440,00;-;-;18.559,00;31.808,00;9.379,00;-
01.01.2024;01.02.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.02.2024;01.03.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.03.2024;01.04.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.04.2024;01.05.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.05.2024;01.06.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.06.2024;01.07.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.07.2024;01.08.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.08.2024;01.09.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.09.2024;01.10.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.10.2024;01.11.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.11.2024;01.12.2024;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.12.2024;01.01.2025;8.577,00;5.112,00;8.456,00;59.841,00;76.601,00;410,00;-;18.363,00;18.411,00;36.255,00;9.449,00;8.813,00
01.01.2025;01.02.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.02.2025;01.03.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.03.2025;01.04.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.04.2025;01.05.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.05.2025;01.06.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.06.2025;01.07.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.07.2025;01.08.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.08.2025;01.09.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.09.2025;01.10.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.10.2025;01.11.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.11.2025;01.12.2025;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
01.12.2025;01.01.2026;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
